language,dialect,Total_hits
 Finnish,,57
 Russian,,56
 Chinese, Mandarin,53
 Japanese,,50
 French,,48
 Korean,,44
 Spanish,,43
 German,,42
 Swedish,,42
 Polish,,41
 Romanian,,41
 Dutch,,40
 Italian,,39
 Portuguese,,39
 Ukrainian,,39
 Greek,,38
 Latin,,38
 Danish,,37
 Hungarian,,35
 Catalan,,34
 Arabic,,28
 Bulgarian,,26
 Hindi,,26
 Georgian,,25
 Irish,,25
 Czech,,24
 Esperanto,,24
 Interlingua,,23
 Maori,,23
 Slovak,,23
 Persian,,22
 Turkish,,22
 Kurdish, Northern Kurdish,21
 Greek, Ancient,20
 Armenian,,19
 Belarusian,,19
 Galician,,19
 Scottish Gaelic,,19
 Slovene,,19
 Chinese, Min Nan,18
 Kurdish, Central Kurdish,18
 Macedonian,,18
 Bashkir,,17
 Chinese, Cantonese,17
 Malay,,17
 Vietnamese,,17
 Estonian,,16
 Bengali,,15
 Ido,,15
 Maltese,,15
 Serbo-Croatian, Roman,15
 Norwegian, Bokmål,14
 Telugu,,14
 Thai,,14
 Azerbaijani,,13
 Icelandic,,13
 Indonesian,,13
 Kazakh,,13
 Serbo-Croatian, Cyrillic,13
 Welsh,,13
 Khmer,,12
 Old English,,12
 Urdu,,12
 Hebrew,,11
 Norwegian, Nynorsk,11
 Yiddish,,11
 Afrikaans,,10
 Navajo,,10
 Ojibwe,,10
 Walloon,,10
 Basque,,9
 Lao,,9
 Malayalam,,9
 Scots,,9
 Tok Pisin,,9
 Aragonese,,8
 Cherokee,,8
 Chinese, Hakka,8
 Latvian,,8
 Zealandic,,8
 Asturian,,7
 Faroese,,7
 Gothic,,7
 Lithuanian,,7
 Norman,,7
 Pashto,,7
 Sorbian, Lower Sorbian,7
 Swahili,,7
 Tajik,,7
 Albanian,,6
 Low German, German Low German,6
 Ngazidja Comorian,,6
 Sanskrit,,6
 Guaraní,,5
 Gujarati,,5
 Haitian Creole,,5
 Ladino,,5
 Malay, Rumi,5
 Quechua,,5
 Romansch,,5
 Tamil,,5
 Tocharian B,,5
 Turkmen,,5
 Venetian,,5
 Arabic, Egyptian Arabic,4
 Aromanian,,4
 Bikol Central,,4
 Breton,,4
 Burmese,,4
 Chechen,,4
 Hawaiian,,4
 Kabuverdianu,,4
 Kyrgyz,,4
 Malay, Jawi,4
 Middle English,,4
 Mirandese,,4
 Mongolian,,4
 Plautdietsch,,4
 Romani,,4
 Tatar,,4
 Ugaritic,,4
 Uzbek,,4
 Volapük,,4
 Apache, Western Apache,3
 Assamese,,3
 Dalmatian,,3
 Egyptian,,3
 Friulian,,3
 Istriot,,3
 Kannada,,3
 Kapampangan,,3
 Lingala,,3
 Lombard,,3
 Malagasy,,3
 Old High German,,3
 Old Norse,,3
 Old Saxon,,3
 Southern Altai,,3
 Sundanese,,3
 Aramaic, Classical Syriac,2
 Chinese, Wu,2
 Chuvash,,2
 Hiligaynon,,2
 Ingush,,2
 Manx,,2
 Maranao,,2
 Mbyá Guaraní,,2
 Mòcheno,,2
 Occitan,,2
 Oriya,,2
 Rusyn,,2
 Sardinian,,2
 Sicilian,,2
 Sinhalese,,2
 Sylheti,,2
 Zhuang,,2
