"word","gloss","language","dialect","form"
"all_determiner"," every individual of the given class"," ǃKung",""," {{t|khi-kun|dzã}}"
"and"," used to connect two similar words` phrases` et cetera"," ǃXóõ",""," {{t|nmn|ǂʻá}"
"and"," used to connect two similar words` phrases` et cetera"," ǃXóõ",""," {{t|nmn|ʻàhn}}"
"and"," used to connect two similar words` phrases` et cetera"," Abkhaz",""," {{t|ab|-и}"
"and"," used to connect two similar words` phrases` et cetera"," Abkhaz",""," {{t|ab|-гьы}}"
"and"," used to connect two similar words` phrases` et cetera"," Adyghe",""," {{t|ady|ыкӏи}}"
"and"," used to connect two similar words` phrases` et cetera"," Afrikaans",""," {{t+|af|en}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Afrikaans",""," {{t+|af|en}}"
"every"," all of a countable group"," Afrikaans",""," {{t+|af|elke}}"
"all_adverb"," intensifier"," Afrikaans",""," {{t+|af|alle}}"
"each_determiner"," every"," Afrikaans",""," {{t+|af|elke}}"
"everybody"," all people"," Afrikaans",""," {{t|af|enigiemand}"
"everybody"," all people"," Afrikaans",""," {{t+|af|almal}}"
"everyone"," every person"," Afrikaans",""," {{t+|af|almal}}"
"everything"," all the things"," Afrikaans",""," {{t+|af|alles}}"
"everywhere"," at all places"," Afrikaans",""," {{t|af|oral}}"
"everything"," all the things"," Aghwan",""," {{t|xag|𐕠𐔴𐕀}}"
"and"," used to connect two similar words` phrases` et cetera"," Akkadian",""," {{t|akk|𒅇|tr=u}}"
"and"," used to connect two similar words` phrases` et cetera"," Akkala Sami",""," {{t|sia|я}}"
"and"," used to connect two similar words` phrases` et cetera"," Albanian",""," {{t+|sq|dhe}}"
"also"," in addition; besides; as well; further; too"," Albanian",""," {{t+|sq|gjithashtu}"
"also"," in addition; besides; as well; further; too"," Albanian",""," {{t+|sq|edhe}}"
"every"," all of a countable group"," Albanian",""," {{t+|sq|cilido}}"
"all_determiner"," every individual of the given class"," Albanian",""," {{t+|sq|gjithë}}"
"each_determiner"," every"," Albanian",""," {{t+|sq|çdo}}"
"and"," used to connect two similar words` phrases` et cetera"," Alutor",""," {{t|alr|ту|tr=tu}}"
"each_determiner"," every"," American Sign Language",""," {{t|ase|OpenA@NearPalm-ThumbUp-OpenA@CenterChesthigh-ThumbUp RoundVert OpenA@FromUlnarPalm-ThumbAcross-OpenA@CenterChesthigh-ThumbUp}}"
"anything_pronoun"," =any thing of any kind"," American Sign Language",""," {{t|ase|A@Wrist-PalmUp-A@CenterTrunkhigh-PalmUp 5@SideTrunkhigh-PalmUp-5@SideTrunkhigh-PalmUp}}"
"anything_noun"," =someone or something"," American Sign Language",""," {{t|ase|A@Wrist-PalmUp-A@CenterTrunkhigh-PalmUp 5@SideTrunkhigh-PalmUp-5@SideTrunkhigh-PalmUp}}"
"and"," used to connect two similar words` phrases` et cetera"," Amharic",""," {{t|am|ና}"
"and"," used to connect two similar words` phrases` et cetera"," Amharic",""," {{t|am|እና}}"
"also"," in addition; besides; as well; further; too"," Amharic",""," {{t|am|ደግሞ}}"
"and"," used to connect two similar words` phrases` et cetera"," Antillean Creole",""," {{t|gcf|ak}}"
"also"," in addition; besides; as well; further; too"," Apache"," Western Apache"," {{t|apw|dóʼ}}"
"everything"," all the things"," Apache"," Western Apache"," {{t|apw|dawa}}"
"everywhere"," at all places"," Apache"," Western Apache"," {{t|apw|dáhotʼéhé}}"
"and"," used to connect two similar words` phrases` et cetera"," Arabic",""," {{t+|ar|وَـ}}"
"also"," in addition; besides; as well; further; too"," Arabic",""," {{t+|ar|أَيْضًا}"
"also"," in addition; besides; as well; further; too"," Arabic",""," {{t|ar|كَذٰلِكَ|tr=ka-ḏālika}"
"also"," in addition; besides; as well; further; too"," Arabic",""," {{t|ar|بِالمِثْل}}"
"every"," all of a countable group"," Arabic",""," {{t|ar|كُلّ}}"
"all_determiner"," every individual of the given class"," Arabic",""," {{t|ar|كُلّ}"
