"","str345","N"
"1"," aal",3
"2"," aam",1
"3"," abs",9
"4"," aca",1
"5"," ace",8
"6"," ach",12
"7"," aci",1
"8"," ack",19
"9"," aco",1
"10"," act",7
"11"," acy",1
"12"," add",1
"13"," ade",11
"14"," adi",2
"15"," ado",1
"16"," ads",22
"17"," ady",7
"18"," aed",2
"19"," aei",1
"20"," aes",3
"21"," afe",1
"22"," aff",5
"23"," afs",4
"24"," aft",6
"25"," afu",1
"26"," afy",1
"27"," age",8
"28"," agi",1
"29"," ago",1
"30"," ags",15
"31"," agy",2
"32"," ahi",1
"33"," ahs",7
"34"," ahu",1
"35"," aid",3
"36"," aig",1
"37"," aik",1
"38"," ail",12
"39"," aim",1
"40"," ain",14
"41"," air",5
"42"," ais",3
"43"," ait",5
"44"," aka",1
"45"," ake",11
"46"," aki",1
"47"," ako",1
"48"," aks",8
"49"," aky",8
"50"," ala",3
"51"," ald",4
"52"," ale",7
"53"," ali",1
"54"," alk",2
"55"," all",5
"56"," alm",3
"57"," alp",1
"58"," als",23
"59"," alt",4
"60"," aly",6
"61"," ama",5
"62"," ame",5
"63"," ami",2
"64"," amo",2
"65"," amp",9
"66"," ams",25
"67"," amy",6
"68"," ana",6
"69"," anc",1
"70"," and",8
"71"," ane",7
"72"," ang",15
"73"," ank",17
"74"," ano",5
"75"," anq",1
"76"," ans",32
"77"," ant",13
"78"," any",1
"79"," aos",2
"80"," aou",1
"81"," aow",1
"82"," ape",8
"83"," aph",3
"84"," api",1
"85"," aps",18
"86"," apt",9
"87"," apy",3
"88"," ara",1
"89"," ard",11
"90"," are",13
"91"," arf",5
"92"," ari",3
"93"," ark",6
"94"," arl",3
"95"," arm",8
"96"," arn",3
"97"," aro",1
"98"," arp",2
"99"," arr",2
"100"," ars",36
"101"," art",11
"102"," ary",13
"103"," asa",1
"104"," ase",14
"105"," ash",17
"106"," asi",1
"107"," ask",1
"108"," asm",4
"109"," asp",2
"110"," ass",11
"111"," ast",12
"112"," ata",2
"113"," ate",19
"114"," ath",7
"115"," ati",1
"116"," ats",35
"117"," att",1
"118"," aty",4
"119"," aud",1
"120"," aul",2
"121"," aum",1
"122"," aup",2
"123"," aur",2
"124"," aus",4
"125"," aut",3
"126"," aux",1
"127"," ava",2
"128"," ave",18
"129"," avi",2
"130"," avo",1
"131"," avy",4
"132"," awe",1
"133"," awl",5
"134"," awm",1
"135"," awn",7
"136"," aws",12
"137"," awy",1
"138"," axy",3
"139"," aya",2
"140"," ays",18
"141"," aza",2
"142"," aze",9
"143"," azi",1
"144"," azo",1
"145"," azy",2
"146"," azz",1
"147"," bab",2
"148"," bae",1
"149"," bag",1
"150"," bah",1
"151"," bal",5
"152"," ban",3
"153"," bar",8
"154"," bas",8
"155"," bat",1
"156"," bay",1
"157"," bba",1
"158"," bbe",2
"159"," bbi",2
"160"," bbo",1
"161"," bbs",4
"162"," bby",18
"163"," beb",1
"164"," bec",3
"165"," bed",13
"166"," bei",1
"167"," bel",7
"168"," ben",1
"169"," ber",17
"170"," bes",21
"171"," bet",2
"172"," bey",1
"173"," bia",5
"174"," bic",3
"175"," bid",5
"176"," bie",1
"177"," bin",3
"178"," bir",1
"179"," bis",2
"180"," bit",6
"181"," bka",1
"182"," bla",3
"183"," ble",11
"184"," bly",1
"185"," bob",4
"186"," bol",1
"187"," boo",2
"188"," bop",2
"189"," bor",3
"190"," bos",6
"191"," bot",4
"192"," bow",4
"193"," box",1
"194"," boy",1
"195"," bra",7
"196"," bre",3
"197"," bri",1
"198"," bro",1
"199"," bry",1
"200"," bsy",1
"201"," bts",1
"202"," bue",1
"203"," bug",1
"204"," bul",1
"205"," bum",2
"206"," bun",1
"207"," bus",7
"208"," but",2
"209"," buy",1
"210"," bye",3
"211"," byl",1
"212"," cab",1
"213"," cad",2
"214"," caf",1
"215"," cal",10
"216"," can",1
"217"," cao",1
"218"," cap",3
"219"," car",2
"220"," cas",9
"221"," cat",1
"222"," caw",1
"223"," cay",1
"224"," cca",4
"225"," cce",2
"226"," cch",2
"227"," cci",2
"228"," cco",1
"229"," cea",1
"230"," ced",9
"231"," cee",3
"232"," cek",1
"233"," cel",1
"234"," cep",1
"235"," cer",9
"236"," ces",20
"237"," cet",3
"238"," cey",3
"239"," cha",4
"240"," che",8
"241"," chi",1
"242"," cho",4
"243"," chs",6
"244"," cht",3
"245"," chu",1
"246"," chy",5
"247"," cia",3
"248"," cid",3
"249"," cin",4
"250"," cit",3
"251"," cka",1
"252"," cke",1
"253"," cko",6
"254"," cks",55
"255"," cky",15
"256"," cle",4
"257"," clo",1
"258"," coa",1
"259"," cog",1
"260"," col",1
"261"," con",5
"262"," cor",2
"263"," cos",6
"264"," cot",4
"265"," coy",2
"266"," cra",3
"267"," cre",3
"268"," cro",3
"269"," cry",1
"270"," cta",3
"271"," cti",2
"272"," cto",1
"273"," cts",5
"274"," cty",1
"275"," cua",1
"276"," cul",1
"277"," cum",2
"278"," cur",3
"279"," cus",10
"280"," cut",2
"281"," dad",2
"282"," dal",8
"283"," dam",1
"284"," dan",2
"285"," dar",3
"286"," das",5
"287"," dax",1
"288"," day",1
"289"," ddi",1
"290"," ddo",1
"291"," dds",3
"292"," ddy",22
"293"," deb",1
"294"," dec",1
"295"," ded",18
"296"," dee",1
"297"," del",4
"298"," dem",1
"299"," den",5
"300"," deo",2
"301"," der",26
"302"," des",29
"303"," det",3
"304"," dew",1
"305"," dex",3
"306"," dge",18
"307"," dgy",9
"308"," dhe",2
"309"," dhs",1
"310"," dhu",1
"311"," dia",4
"312"," dic",6
"313"," did",4
"314"," die",4
"315"," dii",2
"316"," dim",1
"317"," din",1
"318"," dio",2
"319"," dip",1
"320"," dir",1
"321"," dis",10
"322"," dit",1
"323"," dix",1
"324"," dje",1
"325"," dji",1
"326"," djo",1
"327"," dka",1
"328"," dle",5
"329"," dly",6
"330"," dol",2
"331"," dom",1
"332"," don",3
"333"," dor",2
"334"," dos",12
"335"," dou",1
"336"," dow",3
"337"," dox",1
"338"," dra",2
"339"," dre",3
"340"," dri",2
"341"," dro",3
"342"," dry",2
"343"," dst",3
"344"," dsy",1
"345"," dth",1
"346"," dub",1
"347"," due",3
"348"," dum",1
"349"," dun",1
"350"," dus",4
"351"," dux",1
"352"," dye",1
"353"," dzh",1
"354"," dzu",1
"355"," eac",1
"356"," ead",8
"357"," eae",2
"358"," eaf",1
"359"," eah",1
"360"," eak",10
"361"," eal",9
"362"," eam",7
"363"," ean",7
"364"," eap",2
"365"," ear",8
"366"," eas",10
"367"," eat",8
"368"," eba",2
"369"," ebe",4
"370"," ebs",3
"371"," eca",3
"372"," ece",2
"373"," ech",2
"374"," eck",6
"375"," ecs",3
"376"," ect",3
"377"," eda",1
"378"," ede",4
"379"," edi",1
"380"," edo",2
"381"," eds",14
"382"," edy",5
"383"," eeb",1
"384"," eed",14
"385"," eek",9
"386"," eel",5
"387"," eem",1
"388"," een",8
"389"," eep",9
"390"," eer",11
"391"," ees",15
"392"," eet",8
"393"," efs",8
"394"," eft",2
"395"," efy",2
"396"," ega",1
"397"," ege",2
"398"," egn",1
"399"," ego",1
"400"," egs",2
"401"," egy",1
"402"," ehn",1
"403"," ehs",1
"404"," eic",3
"405"," eik",1
"406"," eil",1
"407"," ein",4
"408"," eir",2
"409"," eis",1
"410"," eks",9
"411"," eky",2
"412"," ela",3
"413"," eld",5
"414"," ele",3
"415"," elf",1
"416"," eli",1
"417"," elk",1
"418"," ell",10
"419"," elm",2
"420"," elp",2
"421"," els",14
"422"," elt",4
"423"," ely",1
"424"," ema",3
"425"," emd",1
"426"," eme",3
"427"," emi",1
"428"," emo",1
"429"," ems",9
"430"," emy",1
"431"," ena",7
"432"," end",9
"433"," ene",6
"434"," eno",1
"435"," ens",17
"436"," ent",10
"437"," eny",2
"438"," eol",1
"439"," eon",3
"440"," eop",1
"441"," eos",1
"442"," epa",1
"443"," epe",2
"444"," eph",1
"445"," eps",12
"446"," ept",6
"447"," epy",3
"448"," era",1
"449"," erb",1
"450"," erd",1
"451"," ere",4
"452"," eri",1
"453"," erk",2
"454"," erm",2
"455"," ern",2
"456"," erp",1
"457"," ers",30
"458"," ert",7
"459"," ery",11
"460"," esa",1
"461"," ese",4
"462"," esh",2
"463"," esp",1
"464"," ess",8
"465"," est",13
"466"," esy",1
"467"," eta",3
"468"," ete",1
"469"," eth",4
"470"," ets",18
"471"," ety",2
"472"," eud",1
"473"," eue",1
"474"," eum",4
"475"," eur",1
"476"," eus",3
"477"," eve",7
"478"," evi",1
"479"," evo",1
"480"," evy",1
"481"," ewe",1
"482"," ewn",1
"483"," ews",16
"484"," ewy",4
"485"," exy",1
