sah, POS, translation
аа,exc.,Oh! See!
ааҕыс=,v.,to reckon with
аайы,a.,"each, every;"
күн аайы,  ,  every day 
аак,n.,"document, paper (cf аах)"
аах=,v.,to read
аал,n.,"ship, barge, float, buoy"
аал=,v.,to rub
аалыс=,v.,"to socialize, mingle with"
аан,n.,"door, entrance;"
ааннаа=,v.,to provide with a door;
олбуор, , 
аар-маар,a.,stupid
аас,n.,hunger
аас=,v.,"to go past, pass"
аат,n.,"name, fame;"
аат-суол,n.,fame;
аата,n.,comp. title;
аат тыл, , 
аах,n.,"document, paper;  (cf аак)"
аах=,v.,to read
аах=,v.,to read
аахай=,v.,"to pay attention, take account"
аах-маах,a.,stupid
ааһыган,a.,"transient, transitory"
аба,n.,"grief, annoyance; bitterness;"
абатый=,v.,to become
"абаасы, абааһы",n.,"ogre, demon, devil;"
абааһы көр=,v.,to dislike
абаатар,n.,comp. avatar
абаҕа,n.,uncle (paternal)
аб-аһыы,a.,extremely sour
абыраа=,v.,"to save, rescue, help out [<Mong. aburaqu]"
абырахтаа=,v.,"to repair, mend"
абытай,exc.,Whew!
автомобиль,n.,"automobile, car [<Russ.]"
аҕа,a.,"old, elder"
аҕа,n.,father;
аҕа-ий̃э,n.,parents
аҕаа=,v.,"to glue, smear"
аҕабыыт,n.,priest
аҕал=,v.,"to give, deliver, yield, bring forth"
аҕас,n.,sister (elder)
агроном,n.,"agronomist, agricultural specialist [<Russ.]"
аҕыйах,a.,"lesser, somewhat, some, a little;"
аҕыйахтых,adv.,
аҕын=,v.,"to remember, keep in mind"
аҕыныах,n.,salve ( cf оҕунуох)
аҕырыа ,n.,"glass beads (cf. оҕуруо"
аҕыс,num.,"eight, 8;"
ахсыс,num.,eighth;
ахсынньы,n.,December
адаар,n.,"gnarl, knot, burl"
адаҕа,n.,"foot restrainers (for horses); burden, load (cf адалҕа)"
"адалҕа, адарҕана, адылҕа",n.,dial. foot restrainers for horses
адьарай,n.,small demon
адьас,n.,"quite, wholly, at all, entirely"
ай=,v.,to create
айа,n.,crossbow
айаас,a.,"wild, untamed (of a horse)"
айан,n.,"road, path, journey, travel;"
айанньыт,n.,traveler
ай̃ах,n.,"mouth, gullet"
айдаан,n.,"noise, uproar, commotion"
айдаар=,v.,"to be noisy, make a fuss"
аймах,n.,"relative, family member"
айхал,n.,"glory, fame"
айыкка,exc.,Ouch!
айылҕа,n.,nature
айымньы,n.,creation
айыы,n.,"production, work"
ай̃ыы,n.,"sin, error, crime, guilt, fault"
акаары,a.,"stupid, dumb"
акушерка,n.,"midwife, obstetric nurse [<Russ.]"
ала,a.,"skewbald, spotted, motley"
алаадьы,n.,"fritter, flapjack, pancake [<Russ. оладя]"
алаас,n.,"large open field with one or more lakes, surrounded by a"
Алааска,n.,Alaska
аламаҕай,a.,"affable, cordial, friendly"
алар,n.,"woods, grove"
албаа=,v.,"to flatter, coax, wheedle;"
албаҕа,n.,flattery
албас,a.,cunning;
албас,n.,"trick, ruse"
албын,n.,deceit
алҕаа=,v.,to bless;
алгыс,n.,blessing
алҕас,n.,"error, mistake; comp. cancel;"
алҕаһаа=,v.,"to err, make a"
алгый,n.,large kettle
алдьат=,v.,to break;
алдьархай,n.,"destruction, harm, damage\"
аллай=,v.,to open one’s mouth widely;
аллаҕар,a.,with mouth
аллар=,v.,"to hollow, chisel out"
аллара,adv.,"down, downwards;"
аллараа,a.,"low, inferior, below"
алта,num.,"six, 6;"
алтыс,a.,sixth;
алтынньы,n.,October
алтынньы,n.,October
алчай=,v.,to spread one’s legs
алын,n.,"lower part, underside, bottom"
алын=,v.,"to seep, ooze"
алып,n.,magic
алыс,a.,"excessive, extreme"
алыһар,n.,"perch (fish, Perca sp.)"
ама,a.,"simple, plain, ordinary"
Америка,n.,America;
Америка Холбоһуктаах Штаттара (АХШ),n.,
ампаар,n.,"barn, granary;"
ампаар дьиэ,n.,"Russian hut, cottage"
анаа=,v.,"to appoint, set, fix"
аҥаар,num.,"half, ½ (cf аҥар)"
анагыскы,a.,next
анал,n.,destiny
аҥар,num.,"half, ½; (cf аҥаар)"
аҥардаа=,v.,to divide in half
аҥардас=,a.,"single, alone"
анат=,v.,"to have set, fixed, determined"
андаҕар,n.,vow [<Mong. andağar]
анды,n.,velvet scoter (Melanitta fusca)
анньылаа=,v.,to push
аны,adv.,now
ап,n.,"sorcery, magic"
"апка, аппа",n.,ravine;
аппараах,a.,very wide
аптамаахтык,a.,automatic [<Russ. автоматик]
ар,ono.,Roar!;
ар гын=,v.,to roar
араама,n.,frame [<Russ. рама]
араар=,v.,"to separate, take apart;"
араары (падэж),n.,partitive
араас,a.,"different, various"
арааһынай,n.,"different things, et cetera"
араҕас,a.,"yellow, orange;"
араҕыстый=,v.,to become yellow\
араҕыс=,v.,"to depart, leave"
арай,adv.,"only, just, suddenly"
аралдьый=,v.,to be distracted;
аралдьыт=,v.,to distract
арах=,v.,to become separated;
араар=,v.,to separate
арахcыы,n.,"expenses, outflow"
арбай=,v.,to have messy hair;
арбаҕар,a.,messy-haired
арҕаа,"n., a.",west
аргыс,n.,companion
аргыһах,n.,dial cf оргуһах yoke
ардах,n.,rain;
ардахтаа=,v.,to rain
ардьаах,n.,large fish trap with a wide opening
арыгы,n.,wine
арыгыһыт,n.,alcoholic
арый,v.,to open
арыт,adv.,"sometimes, seldom;"
арыт,n.,"interval, interstice, distance\"
арыы,n.,"butter, oil, grease;"
дьэҥкир арыы,n.,boiled butter
арыы,n.,island
ас,n.,food;
асчыт,n.,"cook, chef;"
сир аһа,n.,"berry, berries;"
үп-ас,n.,
ас,n.,hair
ас=,v.,to open;
аһаҕас,a.,open
ас=,v.,"to strike, collide"
ассыын,n.,"arshin, 1.9 ft. [<Russ. аршин] (cf арсыын)"
астаа=,v.,"to cook, prepare (food), bake;"
астан=,v.,to be prepared
астык,a.,enjoyable;
астын=,v.,to enjoy
ат,n.,horse;
ат сэбэ,n.,"harness, horse trappings;"
ат кунан,n.,steer;
атаар=,v.,"to dispatch, send"
атаҕастаа=,v.,"to offend, hurt"
атас,n.,friend;
атас-доҕор,n.,friends
атах,n.,"foot, leg;"
атах таҥаһа,n.,footwear
атта=,v.,"to castrate, geld"
аттаах,n.,"horsemen, riders"
атын,a.,"other, another;"
атын,n.,side
атырдьах ыйа,n.,August
атыы,n.,"commerce, trade"
атыылаа=,v.,to sell
атыылас=,v.,to buy
атыыр,n.,stallion;
атыыр сибиинньэ,n.,boar;
атыыр оҕус,n.,stud
аудитория,n.,audience [<Russ.]
ах,n.,rancidity;
ахтаах,a.,rancid
ах=,v.,"to stop flowing, to cause to clot"
ахсаа=,v.,"to weaken, lessen;"
ахсат=,v.,to make weak
ахсаан,n.,"account, number"
ахсынньы,n.,December
ахсыс,num.,eighth;
ахсынньы,n.,December
аһаа=,v.,to eat
аһаҕас,a.,open;
аһаҕас дорҕоон,n.,vowel
аһар=,v.,"to let through, allow to pass"
аһарыы,n.,comp. autologin
аһат=,v.,to feed (animals)
аһын=,v.,to feel sorry for;
аһыныгас,a.,compassionate
аһыҥа,n.,"locust, grasshopper"
аһыы,a.,"sour, acrid, bitter, salty;"
аһыы сүөргэй,n.,sour cream;
аһыы,n.,molar
ача,n.,mountain sedge
ачаа,a.,"spoiled, capricious"
аччыгый,a.,"small, tiny"
аччык,a.,hungry
баа,ono.,"low voice, bass;"
баа гын=,v.,to speak in a low voice;
баай,a.,"rich, wealthy;"
баай-күүс,n.,wealth and power;
баай дуол, , 
баай=,v.,"to tie, bind;"
баас=,v.,"to bind (together, one another);"
баайыс=,v.,"to carp at, cavil at, find fault with"
баак,n.,fact [<Russ. факт] (cf баах)
баалаа=,v.,"to force, compel"
баан,n.,bank [<Russ. банк]
баанньык,n.,"bath, bathhouse [<Russ. баня]"
баар,v.,"there is/are, there exists;"
баар,a.,comp. active
баарыын,adv.,recently (cf маарыын)
баас,n.,wound;
бааһыр=,v.,to be wounded
баата,n.,"wadding, batting, quilting [<Russ. вата]"
баах,n.,fact [<Russ. факт] (cf баак)
бааһына,n.,"field, pasture [<Russ. пашня]"
бааччай=,v.,to complicate;
бааччах,n.,complication
багдай=,v.,to have broad shoulders;
багдаҕар,a.,broad-
баҕа,n.,desire;
баҕар=,v.,to desire
баҕа,n.,frog;
баҕа батаһы,n.,iris (flower)
баҕана,n.,"peg, post (cf. маҕана)"
бадараан,n.,"swamp, marsh"
бай,exc.,"Well!, Oh my!"
бай=,v.,to become rich
байаҕал,n.,"ocean, sea;"
Байаҕал,n.,Lake Baikal
бала,adv.,"much, greatly, abundantly"
"балаакка, балаатка",n.,tent [<Russ. палатка]
балаҕан,n.,"yurt, house;"
балаҕан ыйа,n.,September
балаҕан ыйа,n.,September
баланыысса,n.,hospital [<Russ. больница]
балбаах,n.,dung heap
баллырҕаа=,v.,to blabber;
баллырҕас,a.,blabbering
балык,n.,fish;
балыктаа=,v.,to fish;
"балыксыт, балыкчыт",n.,
балыс,n.,sister (younger);
балтым,n.,my younger sister
балыыта,n.,"valyuta, currency [<Russ. валюта]"
бар,ono.,Roar!;
бар гын=,v.,to roar
бар=,v.,to brew (of tea)
бар=,v.,"to go, leave, depart;"
барыы,n.,"departure, leaving;"
кэлии,,
бараа=,v.,to spend
бараан,a.,dark
барабыай,n.,sparrow [<Russ. воробей]
баран,pp.,after
барбах,a.,"insignificant, unimportant"
барнак,n.,"criminal, fugitive"
барча,n.,brocade [<Russ. парча]
бары,a.,all
барыанньа,n.,"jam, jelly"
барый=,v.,to appear dimly in the distance
барыл,n.,"sketch, outline"
барымтыа,a.,strong (of tea)
барыта,n.,index
бас,n.,"head, beginning;"
бастаан,adv.,"from the beginning, at first;"
бас=,v.,to fetch (water)
басса,a.,this much
басый=,v.,to master
бат=,v.,"to chase, pursue, drive"
бат=,v.,to fit into
батаҥа,n.,leather purse
батас,n.,"large knife, lance;"
баҕа батаһы,n.,iris (flower)
баттаа=,v.,"to press, oppress, pursue;"
баттааһын,n.,pressure;
баттах,n.,"hair, hairs"
батыс=,v.,"to follow, pursue, chase, go after"
бахчай=,v.,to straddle
"баһаалысса, баһаалыста",exc.,Please! [<Russ. пожалуйста]
баһаам,a.,abundant
баһаар,n.,"bazaar, market"
баһый,v.,to master
баһымньы,n.,hoe
баһырҕаа=,v.,to buzz;
баһырҕас,a.,buzzing
баһыыба,exc.,"Thanks!,"
баһыыба,n.,"thanks, gratitude [<Russ. спасибо];"
бензин,n.,"gasoline, benzene, petrol [<Russ.]"
библиотека,n.,library [<Russ.]
бигэргэтии,n.,comp. confirm
бии,n.,"elder, older"
биибэ,n.,beer [<Russ. пиво]
биилкэ,n.,fork [<Russ. вилка]
биир,num.,"one, 1, a/an"
биис,n.,"sort, type"
биит,n.,comp. bit;
биит түргэнэ,n.,bitrate
биитэр,conj.,"or (cf биэтэр, эбэтэр)"
бииһэк,n.,list [<Russ. список] (cf. испииһэк)
бил,n.,Siberian salmon (Onchorhynchus sp.)
бил=,v.,to know;
билис=,v.,to become acquainted with;
билигэс,a.,
билгэ,n.,prognosis
били,pro.,that
билигин,adv.,"now, presently"
