Rank,1-2,N,,2-3,N,,str34,N,,str45,N,
1, co,169,(1.89), ar,208,(2.33), re,141,(1.58), es,548,(6.13)
2, re,139,(1.56), in,164,(1.83), in,140,(1.57), ed,398,(4.45)
3, st,134,(1.5), or,159,(1.78), te,133,(1.49), er,367,(4.11)
4, ma,131,(1.47), ra,157,(1.76), le,129,(1.44), ts,293,(3.28)
5, ca,123,(1.38), oo,144,(1.61), ne,119,(1.33), ks,193,(2.16)
6, pa,121,(1.35), ur,143,(1.6), ar,118,(1.32), as,185,(2.07)
7, sh,117,(1.31), an,140,(1.57), ll,116,(1.3), ls,182,(2.04)
8, sa,111,(1.24), ri,138,(1.54), ke,111,(1.24), ns,162,(1.81)
9, bo,109,(1.22), ro,135,(1.51), an,106,(1.19), ds,156,(1.75)
10, ba,108,(1.21), ea,132,(1.48), ve,104,(1.16), ps,129,(1.44)
11, mo,108,(1.21), er,129,(1.44), me,98,(1.1), al,126,(1.41)
12, ta,108,(1.21), la,128,(1.43), se,96,(1.07), os,126,(1.41)
13, ra,105,(1.17), al,125,(1.4), de,95,(1.06), rs,113,(1.26)
14, ch,103,(1.15), ol,118,(1.32), pe,95,(1.06), ly,105,(1.17)
15, to,102,(1.14), on,117,(1.31), il,83,(0.93), se,103,(1.15)
16, ha,100,(1.12), il,116,(1.3), st,82,(0.92), ty,101,(1.13)
17, sp,100,(1.12), en,113,(1.26), ee,81,(0.91), ch,99,(1.11)
18, do,99,(1.11), at,107,(1.2), ng,81,(0.91), is,95,(1.06)
19, la,98,(1.1), ou,106,(1.19), ra,79,(0.88), le,94,(1.05)
20, lo,98,(1.1), el,101,(1.13), ck,78,(0.87), ms,94,(1.05)
21, ho,97,(1.09), lo,101,(1.13), ea,74,(0.83), us,94,(1.05)
22, de,95,(1.06), re,96,(1.07), on,74,(0.83), on,91,(1.02)
23, li,88,(0.98), ai,92,(1.03), ri,70,(0.78), gs,89,(1)
24, so,87,(0.97), hi,89,(1), at,69,(0.77), ky,86,(0.96)
25, be,86,(0.96), ee,88,(0.98), nt,68,(0.76), in,85,(0.95)
26, br,86,(0.96), am,87,(0.97), be,67,(0.75), te,82,(0.92)
27, tr,86,(0.96), ha,87,(0.97), it,67,(0.75), ic,79,(0.88)
28, bu,84,(0.94), as,85,(0.95), we,66,(0.74), fs,76,(0.85)
29, ga,84,(0.94), ir,85,(0.95), tt,65,(0.73), el,75,(0.84)
30, po,83,(0.93), un,84,(0.94), ir,64,(0.72), en,75,(0.84)
31, se,83,(0.93), li,79,(0.88), as,63,(0.7), ry,73,(0.82)
32, mi,82,(0.92), ul,77,(0.86), er,63,(0.7), st,73,(0.82)
33, pe,81,(0.91), ho,76,(0.85), la,63,(0.7), an,71,(0.79)
34, fa,79,(0.88), it,76,(0.85), al,59,(0.66), ar,70,(0.78)
35, pi,78,(0.87), lu,75,(0.84), ot,59,(0.66), dy,69,(0.77)
36, ro,78,(0.87), le,73,(0.82), nd,58,(0.65), et,66,(0.74)
37, di,77,(0.86), he,70,(0.78), ge,57,(0.64), id,66,(0.74)
38, fl,77,(0.86), ac,69,(0.77), ie,57,(0.64), ng,66,(0.74)
39, gr,77,(0.86), ot,69,(0.77), xe,57,(0.64), ey,64,(0.72)
40, cr,76,(0.85), au,68,(0.76), rt,56,(0.63), ck,63,(0.7)
41, wa,76,(0.85), ow,68,(0.76), mp,55,(0.62), ge,63,(0.7)
42, pr,74,(0.83), om,67,(0.75), am,54,(0.6), ne,63,(0.7)
43, te,74,(0.83), et,66,(0.74), nk,54,(0.6), th,62,(0.69)
44, bi,72,(0.81), ad,63,(0.7), oo,54,(0.6), ve,62,(0.69)
45, cl,71,(0.79), us,63,(0.7), is,53,(0.59), re,61,(0.68)
46, sc,71,(0.79), is,61,(0.68), en,52,(0.58), bs,60,(0.67)
47, si,71,(0.79), ru,61,(0.68), ce,51,(0.57), ny,57,(0.64)
48, al,70,(0.78), ap,59,(0.66), ac,50,(0.56), nt,56,(0.63)
49, fi,70,(0.78), av,59,(0.66), ma,50,(0.56), py,53,(0.59)
50, he,69,(0.77), ut,59,(0.66), na,50,(0.56), or,52,(0.58)
51, sl,67,(0.75), um,58,(0.65), or,50,(0.56), sy,52,(0.58)
52, bl,66,(0.74), ag,57,(0.64), ro,50,(0.56), de,51,(0.57)
53, me,65,(0.73), op,56,(0.63), un,50,(0.56), gy,51,(0.57)
54, cu,64,(0.72), ab,55,(0.62), rr,49,(0.55), ws,50,(0.56)
55, le,64,(0.72), ic,55,(0.62), lo,48,(0.54), hs,49,(0.55)
56, pu,63,(0.7), es,53,(0.59), nn,48,(0.54), ie,49,(0.55)
57, wi,63,(0.7), oa,53,(0.59), el,47,(0.53), my,49,(0.55)
58, du,62,(0.69), id,52,(0.58), ta,47,(0.53), it,48,(0.54)
59, mu,62,(0.69), im,52,(0.58), ze,47,(0.53), ce,47,(0.53)
60, dr,60,(0.67), os,51,(0.57), nc,46,(0.51), ta,47,(0.53)
61, gl,59,(0.66), ed,49,(0.55), rk,46,(0.51), ll,44,(0.49)
62, fo,58,(0.65), ak,48,(0.54), ur,46,(0.51), nk,44,(0.49)
63, go,58,(0.65), od,48,(0.54), ai,45,(0.5), ia,43,(0.48)
64, fe,57,(0.64), oi,48,(0.54), ff,45,(0.5), sh,43,(0.48)
65, ri,57,(0.64), aw,47,(0.53), ic,45,(0.5), ot,40,(0.45)
66, th,57,(0.64), ei,47,(0.53), lt,45,(0.5), ra,40,(0.45)
67, un,56,(0.63), ig,46,(0.51), ni,45,(0.5), ee,39,(0.44)
68, da,55,(0.62), og,46,(0.51), ad,44,(0.49), um,39,(0.44)
69, wh,55,(0.62), ec,45,(0.5), li,44,(0.49), il,37,(0.41)
70, na,54,(0.6), iv,45,(0.5), ol,44,(0.49), me,37,(0.41)
71, sw,53,(0.59), em,44,(0.49), rd,43,(0.48), ma,36,(0.4)
72, vi,53,(0.59), uc,42,(0.47), ut,43,(0.48), rt,35,(0.39)
73, ar,52,(0.58), to,40,(0.45), ap,42,(0.47), at,34,(0.38)
74, no,52,(0.58), ub,39,(0.44), rs,42,(0.47), by,34,(0.38)
75, qu,52,(0.58), na,38,(0.43), ul,42,(0.47), ss,34,(0.38)
76, su,52,(0.58), oc,38,(0.43), ye,42,(0.47), ys,34,(0.38)
77, ti,50,(0.56), ui,36,(0.4), ow,41,(0.46), nd,32,(0.36)
78, fr,49,(0.55), ay,35,(0.39), ti,41,(0.46), pe,32,(0.36)
79, gu,49,(0.55), hu,35,(0.39), um,41,(0.46), mp,31,(0.35)
80, pl,48,(0.54), ip,35,(0.39), rn,40,(0.45), ad,30,(0.34)
81, lu,47,(0.53), ud,35,(0.39), di,38,(0.43), la,30,(0.34)
82, sk,47,(0.53), az,34,(0.38), im,38,(0.43), ay,29,(0.32)
83, fu,46,(0.51), ob,33,(0.37), os,38,(0.43), na,29,(0.32)
84, am,45,(0.5), pi,33,(0.37), ss,38,(0.43), pt,29,(0.32)
85, an,45,(0.5), ta,33,(0.37), id,37,(0.41), ke,28,(0.31)
86, sn,45,(0.5), wa,33,(0.37), mb,37,(0.41), ae,27,(0.3)
87, tu,44,(0.49), ew,32,(0.36), ga,36,(0.4), go,27,(0.3)
88, ru,43,(0.48), ie,32,(0.36), mi,36,(0.4), ol,27,(0.3)
89, ka,42,(0.47), ik,32,(0.36), op,36,(0.4), ff,26,(0.29)
90, ne,42,(0.47), eb,31,(0.35), th,36,(0.4), ut,26,(0.29)
91, ki,40,(0.45), no,31,(0.35), us,35,(0.39), ze,26,(0.29)
92, ve,40,(0.45), ua,31,(0.35), rl,34,(0.38), hy,25,(0.28)
93, wo,40,(0.45), ug,31,(0.35), ca,33,(0.37), ue,25,(0.28)
94, gi,39,(0.44), eg,30,(0.34), gg,33,(0.37), he,24,(0.27)
