Rank,1-2-3-4,N,%,2-3-4-5,N,
1, char,8,(0.08951), ills,17,(0.1902)
2, chir,6,(0.06713), ines,14,(0.15663)
3, code,6,(0.06713), ails,13,(0.14545)
4, cove,6,(0.06713), ears,13,(0.14545)
5, hose,6,(0.06713), ales,12,(0.13426)
6, prim,6,(0.06713), ares,12,(0.13426)
7, scar,6,(0.06713), ater,12,(0.13426)
8, alan,5,(0.05594), ates,12,(0.13426)
9, blue,5,(0.05594), ests,12,(0.13426)
10, brin,5,(0.05594), ight,12,(0.13426)
11, care,5,(0.05594), inks,12,(0.13426)
12, chin,5,(0.05594), ocks,12,(0.13426)
13, gree,5,(0.05594), owed,12,(0.13426)
14, limb,5,(0.05594), ucks,12,(0.13426)
15, line,5,(0.05594), acks,11,(0.12307)
16, pale,5,(0.05594), akes,11,(0.12307)
17, pare,5,(0.05594), anes,11,(0.12307)
18, plum,5,(0.05594), ared,11,(0.12307)
19, pros,5,(0.05594), asts,11,(0.12307)
20, rave,5,(0.05594), aves,11,(0.12307)
21, rive,5,(0.05594), ells,11,(0.12307)
22, scal,5,(0.05594), icks,11,(0.12307)
23, shar,5,(0.05594), oles,11,(0.12307)
24, shoo,5,(0.05594), alls,10,(0.11188)
25, snoo,5,(0.05594), ames,10,(0.11188)
26, spic,5,(0.05594), ards,10,(0.11188)
27, spoo,5,(0.05594), arks,10,(0.11188)
28, stee,5,(0.05594), ated,10,(0.11188)
29, swar,5,(0.05594), awed,10,(0.11188)
30, allo,4,(0.04475), eals,10,(0.11188)
31, aura,4,(0.04475), ends,10,(0.11188)
32, basi,4,(0.04475), erry,10,(0.11188)
33, bide,4,(0.04475), ikes,10,(0.11188)
34, bone,4,(0.04475), ites,10,(0.11188)
35, bran,4,(0.04475), ooks,10,(0.11188)
36, brav,4,(0.04475), ores,10,(0.11188)
37, broo,4,(0.04475), ower,10,(0.11188)
38, buff,4,(0.04475), uffs,10,(0.11188)
39, cage,4,(0.04475), ulls,10,(0.11188)
40, camp,4,(0.04475), umps,10,(0.11188)
41, cell,4,(0.04475), ager,9,(0.10069)
42, chic,4,(0.04475), ains,9,(0.10069)
43, chil,4,(0.04475), angs,9,(0.10069)
44, clas,4,(0.04475), arts,9,(0.10069)
45, cooe,4,(0.04475), ases,9,(0.10069)
46, cope,4,(0.04475), atch,9,(0.10069)
47, cose,4,(0.04475), axes,9,(0.10069)
48, cree,4,(0.04475), ecks,9,(0.10069)
49, cube,4,(0.04475), eeps,9,(0.10069)
50, cure,4,(0.04475), elts,9,(0.10069)
51, dice,4,(0.04475), ilts,9,(0.10069)
52, dike,4,(0.04475), ings,9,(0.10069)
53, ding,4,(0.04475), iver,9,(0.10069)
54, dope,4,(0.04475), ones,9,(0.10069)
55, doze,4,(0.04475), oons,9,(0.10069)
56, face,4,(0.04475), oots,9,(0.10069)
57, fake,4,(0.04475), ouse,9,(0.10069)
58, file,4,(0.04475), affs,8,(0.08951)
59, fill,4,(0.04475), aker,8,(0.08951)
60, fort,4,(0.04475), ally,8,(0.08951)
61, frit,4,(0.04475), amps,8,(0.08951)
62, fume,4,(0.04475), arns,8,(0.08951)
63, fuse,4,(0.04475), ayed,8,(0.08951)
64, game,4,(0.04475), eans,8,(0.08951)
65, geni,4,(0.04475), eats,8,(0.08951)
66, glee,4,(0.04475), eeds,8,(0.08951)
67, glue,4,(0.04475), elly,8,(0.08951)
68, gran,4,(0.04475), ents,8,(0.08951)
69, grip,4,(0.04475), ides,8,(0.08951)
