"","str1234","N"
"1"," aahe",1
"2"," aali",1
"3"," aarg",1
"4"," abac",3
"5"," abaf",1
"6"," abak",1
"7"," abam",1
"8"," abas",2
"9"," abat",1
"10"," abay",1
"11"," abba",1
"12"," abbe",2
"13"," abbo",1
"14"," abea",1
"15"," abel",1
"16"," abet",1
"17"," abho",1
"18"," abid",1
"19"," able",3
"20"," abmh",1
"21"," abod",1
"22"," aboh",1
"23"," aboi",1
"24"," abom",1
"25"," aboo",1
"26"," abor",1
"27"," abou",1
"28"," abov",1
"29"," abri",1
"30"," abus",1
"31"," abut",1
"32"," abuz",1
"33"," abye",1
"34"," abys",2
"35"," acar",1
"36"," acer",1
"37"," acet",1
"38"," ache",2
"39"," acho",1
"40"," acid",2
"41"," acin",2
"42"," acke",1
"43"," acme",1
"44"," acmi",1
"45"," acne",2
"46"," acoc",1
"47"," acol",1
"48"," acor",1
"49"," acre",2
"50"," acri",1
"51"," acte",1
"52"," acti",1
"53"," acto",1
"54"," acut",1
"55"," acyl",1
"56"," adag",1
"57"," adap",1
"58"," adda",1
"59"," adde",2
"60"," addl",1
"61"," adee",1
"62"," adep",1
"63"," adie",1
"64"," adio",1
"65"," adit",1
"66"," adma",1
"67"," adme",1
"68"," admi",2
"69"," adob",2
"70"," adop",1
"71"," ador",2
"72"," adow",1
"73"," adoz",1
"74"," adul",1
"75"," adun",1
"76"," adus",1
"77"," adyt",1
"78"," adze",2
"79"," aeci",1
"80"," aede",1
"81"," aegi",1
"82"," aeon",1
"83"," aeri",1
"84"," afar",1
"85"," affi",1
"86"," afir",1
"87"," afoo",1
"88"," afor",1
"89"," afou",1
"90"," afri",1
"91"," afte",1
"92"," agai",1
"93"," agam",1
"94"," agap",1
"95"," agar",1
"96"," agat",1
"97"," agav",1
"98"," agaz",1
"99"," agen",2
"100"," ager",1
"101"," agge",1
"102"," aggi",1
"103"," aggr",1
"104"," agha",1
"105"," agil",1
"106"," agin",1
"107"," agio",1
"108"," agis",2
"109"," agit",1
"110"," agle",3
"111"," aglo",1
"112"," agma",1
"113"," agon",3
"114"," agor",1
"115"," agre",1
"116"," agri",1
"117"," ague",1
"118"," ahea",1
"119"," ahin",1
"120"," ahol",1
"121"," ahul",1
"122"," aide",3
"123"," aile",1
"124"," aime",2
"125"," aiol",1
"126"," aire",2
"127"," airn",1
"128"," airt",2
"129"," aisl",1
"130"," aitc",1
"131"," aive",1
"132"," ajiv",1
"133"," ajug",1
"134"," akee",1
"135"," akel",1
"136"," aken",1
"137"," alac",1
"138"," alam",1
"139"," alan",5
"140"," alar",2
"141"," alat",1
"142"," alba",1
"143"," albu",1
"144"," alci",1
"145"," alde",1
"146"," aldo",1
"147"," alec",1
"148"," alef",1
"149"," alep",1
"150"," aler",1
"151"," alfa",1
"152"," alga",3
"153"," algi",2
"154"," algo",1
"155"," algu",1
"156"," alia",1
"157"," alib",1
"158"," alie",1
"159"," alif",1
"160"," alig",1
"161"," alik",1
"162"," alin",1
"163"," alis",1
"164"," aliv",1
"165"," aliy",1
"166"," alki",1
"167"," alky",2
"168"," alla",1
"169"," alle",2
"170"," allo",4
"171"," ally",1
"172"," alma",2
"173"," alme",2
"174"," almu",2
"175"," aloe",1
"176"," alof",1
"177"," aloh",1
"178"," aloi",1
"179"," alon",2
"180"," aloo",1
"181"," alou",1
"182"," alph",1
"183"," alta",1
"184"," alte",1
"185"," alth",1
"186"," alto",1
"187"," alul",1
"188"," alum",1
"189"," alwa",1
"190"," amah",1
"191"," amai",1
"192"," amas",1
"193"," amaz",1
"194"," ambe",1
"195"," ambi",1
"196"," ambl",1
"197"," ambo",1
"198"," ambr",1
"199"," ameb",1
"200"," amee",1
"201"," amen",3
"202"," amia",1
"203"," amic",2
"204"," amid",3
"205"," amie",1
"206"," amig",2
"207"," amin",3
"208"," amir",1
"209"," amis",1
"210"," amit",1
"211"," ammo",1
"212"," amni",3
"213"," amok",1
"214"," amol",1
"215"," amon",1
"216"," amor",1
"217"," amou",1
"218"," ampe",1
"219"," ampl",2
"220"," ampu",1
"221"," amuc",1
"222"," amus",1
"223"," amyl",1
"224"," anch",1
"225"," anco",1
"226"," andr",1
"227"," anea",1
"228"," anel",1
"229"," anen",1
"230"," anga",1
"231"," ange",2
"232"," angl",2
"233"," angr",1
"234"," angs",1
"235"," anil",2
"236"," anim",3
"237"," anio",1
"238"," anis",1
"239"," ankh",1
"240"," ankl",1
"241"," anku",1
"242"," anla",1
"243"," anna",2
"244"," anne",1
"245"," anno",1
"246"," annu",1
"247"," anoa",1
"248"," anod",1
"249"," anol",1
"250"," anom",1
"251"," ansa",1
"252"," anta",2
"253"," ante",2
"254"," anti",2
"255"," antr",2
"256"," ants",1
"257"," anvi",1
"258"," anyo",1
"259"," aort",1
"260"," apac",1
"261"," apar",1
"262"," apea",1
"263"," apee",1
"264"," aper",2
"265"," aphi",2
"266"," apia",1
"267"," apin",1
"268"," apis",1
"269"," apne",1
"270"," apod",1
"271"," apor",1
"272"," appa",1
"273"," appe",1
"274"," appl",2
"275"," apre",1
"276"," apro",1
"277"," apse",1
"278"," apsi",1
"279"," apte",1
"280"," aptl",1
"281"," aqua",2
"282"," arak",1
"283"," aram",1
"284"," arbo",1
"285"," arce",1
"286"," arcu",1
"287"," arde",1
"288"," ardo",1
"289"," area",3
"290"," arec",1
"291"," arei",1
"292"," aren",2
"293"," arep",1
"294"," aret",1
"295"," arga",1
"296"," argi",1
"297"," argl",1
"298"," argo",3
"299"," argu",2
"300"," arha",1
"301"," aria",1
"302"," arie",1
"303"," aril",1
"304"," aris",1
"305"," arle",1
"306"," arme",3
"307"," armo",1
"308"," aroi",1
"309"," arom",1
"310"," aros",1
"311"," arpe",1
"312"," arra",2
"313"," arri",1
"314"," arro",1
"315"," arse",1
"316"," arsi",1
"317"," arso",1
"318"," arta",1
"319"," arte",1
"320"," arts",1
"321"," arum",1
"322"," arva",1
"323"," arvo",1
"324"," aryl",1
"325"," asan",1
"326"," asco",1
"327"," ascu",1
"328"," asdi",1
"329"," ashe",3
"330"," asid",1
"331"," aske",3
"332"," asko",2
"333"," aspe",2
"334"," aspi",2
"335"," assa",2
"336"," asse",2
"337"," aste",1
"338"," asti",1
"339"," asyl",1
"340"," atap",1
"341"," atax",1
"342"," atil",1
"343"," atla",1
"344"," atma",2
"345"," atol",1
"346"," atom",2
"347"," aton",2
"348"," atop",1
"349"," atri",2
"350"," atta",1
"351"," atti",1
"352"," auda",1
"353"," audi",2
"354"," auge",1
"355"," augh",1
"356"," augu",1
"357"," auli",1
"358"," aunt",2
"359"," aura",4
"360"," aure",2
"361"," auri",2
"362"," auru",1
"363"," auto",1
"364"," auxi",1
"365"," avai",1
"366"," avan",1
"367"," avas",1
"368"," aven",1
"369"," aver",2
"370"," avga",1
"371"," avia",1
"372"," avio",1
"373"," avis",1
"374"," avoi",1
"375"," avow",1
"376"," awai",1
"377"," awak",1
"378"," awar",2
"379"," awas",1
"380"," awfu",1
"381"," awin",1
"382"," awne",1
"383"," awok",1
"384"," awol",1
"385"," axel",1
"386"," axia",1
"387"," axil",2
"388"," axin",1
"389"," axio",2
"390"," axit",1
"391"," axle",2
"392"," axma",1
"393"," axme",1
"394"," axon",2
"395"," ayah",1
"396"," ayin",1
"397"," azan",1
"398"," azid",2
"399"," azin",1
"400"," azlo",1
"401"," azoi",1
"402"," azol",1
"403"," azon",1
"404"," azot",2
"405"," azuk",1
"406"," azur",1
"407"," baae",1
"408"," baal",1
"409"," baba",1
"410"," babe",2
"411"," babk",1
"412"," babo",1
"413"," babu",2
"414"," bacc",1
"415"," back",1
"416"," baco",1
"417"," badd",1
"418"," badg",1
"419"," badl",1
"420"," baff",2
"421"," bage",1
"422"," bagg",1
"423"," baht",1
"424"," bail",1
"425"," bair",1
"426"," bait",2
"427"," baiz",2
"428"," bake",3
"429"," bala",1
"430"," bald",2
"431"," bale",3
"432"," balk",2
"433"," ball",2
"434"," balm",2
"435"," bals",1
"436"," bana",1
"437"," banc",1
"438"," band",3
"439"," bane",2
"440"," bang",1
"441"," banj",1
"442"," bank",1
"443"," bann",1
"444"," bant",1
"445"," barb",2
"446"," barc",1
"447"," bard",2
"448"," bare",3
"449"," barf",1
"450"," barg",1
"451"," bari",1
"452"," bark",2
"453"," barm",2
"454"," barn",2
"455"," baro",1
"456"," barr",1
"457"," bary",1
"458"," basa",1
"459"," base",3
"460"," basi",4
"461"," bask",1
"462"," bass",3
"463"," bast",2
"464"," batc",1
"465"," bate",2
"466"," bath",2
"467"," bati",1
"468"," bato",1
"469"," batt",3
"470"," baud",1
"471"," baul",1
"472"," bawd",2
"473"," bawl",1
"474"," bawt",1
"475"," baye",1
"476"," bayo",1
"477"," baza",1
"478"," bazo",1
"479"," beac",1
"480"," bead",2
"481"," beak",2
"482"," beam",2
"483"," bean",2
"484"," bear",2
"485"," beas",1
"486"," beat",1
"487"," beau",3
"488"," bebo",1
"489"," beca",1
"490"," beck",1
"491"," bede",2
"492"," bedi",1
"493"," beec",1
"494"," beed",1
"495"," beef",2
"496"," beep",1
"497"," beer",2
"498"," beet",1
"499"," befi",1
"500"," befo",1
"501"," bega",2
"502"," bege",1
"503"," begi",1
"504"," bego",1
"505"," begu",2
"506"," beig",2
"507"," bein",1
"508"," bela",1
"509"," belc",1
"510"," belg",1
"511"," beli",1
"512"," bell",3
"513"," belo",2
"514"," belt",1
"515"," bema",1
"516"," bemi",1
"517"," benc",1
"518"," bend",2
"519"," bene",1
"520"," benn",3
"521"," bent",2
"522"," bere",1
"523"," berg",1
"524"," berk",1
"525"," berm",2
"526"," berr",1
"527"," bert",1
"528"," bery",1
"529"," bese",2
"530"," beso",2
"531"," best",1
"532"," beta",1
"533"," bete",1
"534"," beth",1
"535"," beto",1
"536"," bett",1
"537"," beve",1
"538"," bevo",1
"539"," bewi",1
"540"," beze",1
"541"," bezi",1
"542"," bhan",1
"543"," bhoo",1
"544"," bhut",1
"545"," bial",2
"546"," bibb",1
"547"," bibl",1
"548"," bice",2
"549"," bidd",1
"550"," bide",4
"551"," bidi",1
"552"," biel",1
"553"," bier",1
"554"," biff",2
"555"," bifi",1
"556"," bigg",1
"557"," bigh",1
"558"," bigl",1
"559"," bigo",2
"560"," bijo",1
"561"," bike",3
"562"," biki",1
"563"," bilb",2
"564"," bile",1
"565"," bilg",2
"566"," bilk",1
"567"," bill",2
"568"," bima",2
"569"," bimb",1
"570"," bina",1
"571"," bind",2
"572"," bine",2
"573"," bing",2
"574"," bini",1
"575"," bint",1
"576"," biog",1
"577"," biom",1
"578"," bion",1
"579"," biot",1
"580"," bipe",1
"581"," bipo",1
"582"," birc",1
"583"," bird",1
"584"," birk",1
"585"," birl",2
"586"," biro",1
"587"," birr",1
"588"," birs",1
"589"," birt",1
"590"," bise",1
"591"," bisk",1
"592"," biso",1
"593"," bitc",1
"594"," bite",2
"595"," bits",1
"596"," bitt",2
"597"," bize",1
"598"," blab",1
"599"," blac",1
"600"," blad",1
"601"," blaf",1
"602"," blah",1
"603"," blai",1
"604"," blam",2
"605"," blan",2
"606"," blar",1
"607"," blas",2
