Rank,1-2-3,N,%,2-3-4,N,%,3-4-5,N,%
1, sto,34,(0.3804), ate,42,(0.4699), cks,55,(0.61535)
2, chi,31,(0.34683), are,37,(0.41396), lls,55,(0.61535)
3, sha,30,(0.33565), ine,34,(0.3804), res,50,(0.55941)
4, sta,30,(0.33565), ave,33,(0.36921), nes,49,(0.54822)
5, bra,29,(0.32446), ake,32,(0.35802), les,47,(0.52584)
6, sho,29,(0.32446), ill,31,(0.34683), sts,45,(0.50347)
7, cha,28,(0.31327), owe,31,(0.34683), tes,42,(0.4699)
8, car,26,(0.29089), ive,29,(0.32446), kes,41,(0.45872)
9, spi,26,(0.29089), ame,28,(0.31327), ter,40,(0.44753)
10, gra,25,(0.2797), one,28,(0.31327), lly,37,(0.41396)
11, par,25,(0.2797), ope,28,(0.31327), ars,36,(0.40277)
12, spa,25,(0.2797), ale,27,(0.30208), ing,36,(0.40277)
13, pri,24,(0.26852), ell,27,(0.30208), ses,36,(0.40277)
14, cla,23,(0.25733), ose,26,(0.29089), ats,35,(0.39159)
15, pro,23,(0.25733), ane,25,(0.2797), red,34,(0.3804)
16, sca,23,(0.25733), ear,25,(0.2797), nks,33,(0.36921)
17, bur,22,(0.24614), ing,25,(0.2797), ans,32,(0.35802)
18, swa,22,(0.24614), ire,25,(0.2797), ins,32,(0.35802)
19, bri,21,(0.23495), lan,25,(0.2797), mes,32,(0.35802)
20, clo,21,(0.23495), age,24,(0.26852), ngs,32,(0.35802)
21, cur,21,(0.23495), ide,24,(0.26852), ers,30,(0.33565)
22, fla,21,(0.23495), ike,24,(0.26852), its,30,(0.33565)
23, shi,21,(0.23495), ile,24,(0.26852), ked,30,(0.33565)
24, ste,21,(0.23495), rie,24,(0.26852), led,30,(0.33565)
25, tra,21,(0.23495), ast,23,(0.25733), nds,30,(0.33565)
26, whi,21,(0.23495), oke,23,(0.25733), nts,30,(0.33565)
27, bar,20,(0.22376), ole,23,(0.25733), tch,30,(0.33565)
28, cra,20,(0.22376), ora,23,(0.25733), wed,30,(0.33565)
29, ski,20,(0.22376), ove,23,(0.25733), xes,30,(0.33565)
30, tri,20,(0.22376), ree,23,(0.25733), des,29,(0.32446)
31, for,19,(0.21258), ace,22,(0.24614), ffs,29,(0.32446)
32, gri,19,(0.21258), ang,22,(0.24614), ils,29,(0.32446)
33, lea,19,(0.21258), ote,22,(0.24614), lts,29,(0.32446)
34, lin,19,(0.21258), all,21,(0.23495), mps,29,(0.32446)
35, qua,19,(0.21258), aze,21,(0.23495), ons,29,(0.32446)
36, tro,19,(0.21258), ent,21,(0.23495), rks,29,(0.32446)
37, bla,18,(0.20139), est,21,(0.23495), ted,28,(0.31327)
38, com,18,(0.20139), ime,21,(0.23495), tty,27,(0.30208)
39, min,18,(0.20139), ite,21,(0.23495), ves,27,(0.30208)
